size_bytes,size_str,count_elements,type,redop,root,time_us,algbw_gbps,busbw_gbps,errors
2048,2K,512,float,sum,N/A,50.9550329297781,0.3215384047063425,0.5894870752949612,0
4096,4K,1024,float,sum,N/A,46.20305262506008,0.7092172083501461,1.3002315486419345,0
8192,8K,2048,float,sum,N/A,46.0286857560277,1.4238077608248398,2.610314228178873,0
16384,16K,4096,float,sum,N/A,47.653005458414555,2.7505505421768803,5.042675993990947,0
32768,32K,8192,float,sum,N/A,48.741442151367664,5.37825694992581,9.860137741530652,0
65536,64K,16384,float,sum,N/A,56.249392218887806,9.32077626652028,17.088089821953847,0
131072,128K,32768,float,sum,N/A,60.92204712331295,17.211765682751377,31.554903751710857,0
262144,256K,65536,float,sum,N/A,117.25702788680792,17.88508576240266,32.78932389773821,0
524288,512K,131072,float,sum,N/A,77.93379481881857,53.81880876904517,98.66781607658281,0
1048576,1M,262144,float,sum,N/A,88.35450280457735,94.94262016904716,174.06147030991977,0
2097152,2M,524288,float,sum,N/A,151.05127822607756,111.0696724783066,203.6277328768954,0
4194304,4M,1048576,float,sum,N/A,162.23653219640255,206.824144634571,379.17759849671353,0
8388608,8M,2097152,float,sum,N/A,190.4452219605446,352.37882740845686,646.0278502488376,0
16777216,16M,4194304,float,sum,N/A,287.9191655665636,466.1646185862205,854.6351340747375,0
33554432,32M,8388608,float,sum,N/A,505.78981172293425,530.7253127254485,972.9964066633223,0
67108864,64M,16777216,float,sum,N/A,904.9949236214161,593.2308546568021,1087.5899002041372,0
134217728,128M,33554432,float,sum,N/A,1685.1990018039942,637.1602539822102,1168.1271323007186,0
268435456,256M,67108864,float,sum,N/A,3328.519221395254,645.1768805168006,1182.8242809474677,0
536870912,512M,134217728,float,sum,N/A,6966.0532753914595,616.5567684032166,1130.354075405897,0
1073741824,1G,268435456,float,sum,N/A,13588.05880881846,632.1678992458624,1158.9744819507478,0
2147483648,2G,536870912,float,sum,N/A,27321.765571832657,628.7979134742144,1152.7961747027264,0
4294967296,4G,1073741824,float,sum,N/A,54323.4778335318,632.5025520879124,1159.5880121611726,0
