size_bytes,size_str,count_elements,type,redop,root,time_us,algbw_gbps,busbw_gbps,errors
2048,2K,512,float,none,none,109.83010288327932,0.0347327113922403,0.0347327113922403,0
4096,4K,1024,float,none,none,107.75134433060884,0.0708055623681228,0.0708055623681228,0
8192,8K,2048,float,none,none,107.88529179990292,0.14143530418215666,0.14143530418215666,0
16384,16K,4096,float,none,none,118.02299413830042,0.2585731564244102,0.2585731564244102,0
32768,32K,8192,float,none,none,118.63801628351212,0.5144654147296498,0.5144654147296498,0
65536,64K,16384,float,none,none,123.28978627920151,0.9901088823656496,0.9901088823656496,0
131072,128K,32768,float,none,none,141.81325677782297,1.7215641932720862,1.7215641932720862,0
262144,256K,65536,float,none,none,151.25395730137825,3.2282213220185993,3.2282213220185993,0
524288,512K,131072,float,none,none,180.27019686996937,5.417215474083073,5.417215474083073,0
1048576,1M,262144,float,none,none,238.60156070441008,8.185717621602718,8.185717621602718,0
2097152,2M,524288,float,none,none,300.65623577684164,12.992413045772867,12.992413045772867,0
4194304,4M,1048576,float,none,none,481.62557650357485,16.221106978404027,16.221106978404027,0
8388608,8M,2097152,float,none,none,831.4234670251608,18.793070703075493,18.793070703075493,0
16777216,16M,4194304,float,none,none,1522.1606008708477,20.530028160051884,20.530028160051884,0
33554432,32M,8388608,float,none,none,2968.0429957807064,21.05764643195816,21.05764643195816,0
67108864,64M,16777216,float,none,none,5728.680593892932,21.8200330689158,21.8200330689158,0
134217728,128M,33554432,float,none,none,11368.289752863348,21.99099472610048,21.99099472610048,0
268435456,256M,67108864,float,none,none,22317.30401981622,22.404139834992375,22.404139834992375,0
536870912,512M,134217728,float,none,none,45017.983368597925,22.21334509394184,22.21334509394184,0
1073741824,1G,268435456,float,none,none,89884.42516420037,22.25079591204384,22.25079591204384,0
2147483648,2G,536870912,float,none,none,177696.90158311278,22.510240552107273,22.510240552107273,0
